Dalata.10	Drotundata.1288
Dalata.1231	Drotundata.1627
Dalata.12310	Drotundata.15613
Dalata.12312	Drotundata.15604
Dalata.12314	Drotundata.15606
Dalata.12315	Drotundata.15607
Dalata.12318	Drotundata.15618
Dalata.12319	Drotundata.15619
Dalata.1232	Drotundata.6522
Dalata.12320	Drotundata.34770
Dalata.12323	Drotundata.15259
Dalata.12324	Drotundata.15258
Dalata.12325	Drotundata.34605
Dalata.12328	Drotundata.15635
Dalata.1233	Drotundata.1626
Dalata.12331	Drotundata.15599
Dalata.12334	Drotundata.32932
Dalata.12337	Drotundata.32930
Dalata.12338	Drotundata.15527
Dalata.12341	Drotundata.35182
Dalata.12346	Drotundata.35185
Dalata.12348	Drotundata.15399
Dalata.12349	Drotundata.15400
Dalata.1235	Drotundata.1452
Dalata.12354	Drotundata.714
Dalata.12355	Drotundata.28129
Dalata.12372	Drotundata.15503
Dalata.12379	Drotundata.27096
Dalata.12383	Drotundata.15377
Dalata.12384	Drotundata.15382
Dalata.12385	Drotundata.15384
Dalata.12386	Drotundata.15386
Dalata.12387	Drotundata.9441
Dalata.12388	Drotundata.9439
Dalata.12389	Drotundata.33943
Dalata.1239	Drotundata.12572
Dalata.12391	Drotundata.15648
Dalata.12392	Drotundata.15570
Dalata.12393	Drotundata.10443
Dalata.12394	Drotundata.15421
Dalata.12395	Drotundata.15422
Dalata.124	Drotundata.1199
Dalata.1240	Drotundata.1616
Dalata.12402	Drotundata.31348
Dalata.12403	Drotundata.34965
Dalata.12405	Drotundata.15551
Dalata.12407	Drotundata.33460
Dalata.12408	Drotundata.32261
Dalata.1241	Drotundata.1616
Dalata.12411	Drotundata.15502
Dalata.12413	Drotundata.15418
Dalata.12413	Drotundata.15419
Dalata.12418	Drotundata.22885
Dalata.12421	Drotundata.15443
Dalata.12422	Drotundata.15441
Dalata.12423	Drotundata.34777
Dalata.12424	Drotundata.15505
Dalata.12426	Drotundata.15508
Dalata.12427	Drotundata.15509
Dalata.12428	Drotundata.33048
Dalata.12429	Drotundata.15463
Dalata.1243	Drotundata.1619
Dalata.1243	Drotundata.1620
Dalata.12430	Drotundata.15462
Dalata.12431	Drotundata.15459
Dalata.12434	Drotundata.34967
Dalata.12435	Drotundata.33271
Dalata.12439	Drotundata.11244
Dalata.12443	Drotundata.34584
Dalata.12446	Drotundata.15352
Dalata.12448	Drotundata.15283
Dalata.1245	Drotundata.1609
Dalata.12453	Drotundata.15370
Dalata.12455	Drotundata.15368
Dalata.12457	Drotundata.15349
Dalata.12459	Drotundata.15365
Dalata.12461	Drotundata.15363
Dalata.12462	Drotundata.15362
Dalata.12464	Drotundata.15355
Dalata.12465	Drotundata.15227
Dalata.12467	Drotundata.15337
Dalata.1247	Drotundata.1644
Dalata.12471	Drotundata.15346
Dalata.12473	Drotundata.15344
Dalata.12475	Drotundata.15341
Dalata.12476	Drotundata.15358
Dalata.12478	Drotundata.15356
Dalata.12480	Drotundata.15292
Dalata.12481	Drotundata.15291
Dalata.12483	Drotundata.15286
Dalata.12484	Drotundata.15279
Dalata.12487	Drotundata.15282
Dalata.12488	Drotundata.15250
Dalata.1249	Drotundata.1645
Dalata.12491	Drotundata.15311
Dalata.12492	Drotundata.15309
Dalata.12493	Drotundata.15306
Dalata.12494	Drotundata.15305
Dalata.12495	Drotundata.15145
Dalata.12495	Drotundata.15304
Dalata.12499	Drotundata.15297
Dalata.1250	Drotundata.1646
Dalata.12500	Drotundata.15298
Dalata.12501	Drotundata.15300
Dalata.12502	Drotundata.31933
Dalata.12503	Drotundata.15329
Dalata.12504	Drotundata.15330
Dalata.12507	Drotundata.15334
Dalata.12508	Drotundata.15333
Dalata.12509	Drotundata.15332
Dalata.1251	Drotundata.1648
Dalata.12510	Drotundata.15244
Dalata.12511	Drotundata.15245
Dalata.12512	Drotundata.15248
Dalata.12513	Drotundata.15251
Dalata.12515	Drotundata.15253
Dalata.12516	Drotundata.15254
Dalata.12517	Drotundata.15255
Dalata.12519	Drotundata.15231
Dalata.1252	Drotundata.1640
Dalata.12520	Drotundata.15230
Dalata.12521	Drotundata.15324
Dalata.12522	Drotundata.15323
Dalata.12523	Drotundata.15233
Dalata.12524	Drotundata.15321
Dalata.12526	Drotundata.15318
Dalata.12527	Drotundata.15317
Dalata.12528	Drotundata.15315
Dalata.12529	Drotundata.15314
Dalata.12533	Drotundata.12746
Dalata.12536	Drotundata.26373
Dalata.12537	Drotundata.15083
Dalata.12538	Drotundata.15082
Dalata.12540	Drotundata.15140
Dalata.12541	Drotundata.15139
Dalata.12542	Drotundata.15134
Dalata.12543	Drotundata.15136
Dalata.12545	Drotundata.15133
Dalata.12546	Drotundata.15131
Dalata.12547	Drotundata.15129
Dalata.12548	Drotundata.35134
Dalata.12553	Drotundata.15199
Dalata.12554	Drotundata.15201
Dalata.12555	Drotundata.15209
Dalata.12557	Drotundata.15205
Dalata.12560	Drotundata.15110
Dalata.12561	Drotundata.15100
Dalata.12562	Drotundata.15101
Dalata.12563	Drotundata.15102
Dalata.12564	Drotundata.15114
Dalata.12565	Drotundata.15115
Dalata.12566	Drotundata.15211
Dalata.12568	Drotundata.15214
Dalata.12569	Drotundata.15215
Dalata.1257	Drotundata.1642
Dalata.12578	Drotundata.34446
Dalata.12579	Drotundata.15177
Dalata.1258	Drotundata.1655
Dalata.12580	Drotundata.15176
Dalata.12581	Drotundata.4847
Dalata.12582	Drotundata.15179
Dalata.12583	Drotundata.15180
Dalata.12584	Drotundata.15181
Dalata.12585	Drotundata.15182
Dalata.12586	Drotundata.15183
Dalata.12587	Drotundata.15184
Dalata.12588	Drotundata.15185
Dalata.12589	Drotundata.15186
Dalata.12590	Drotundata.15187
Dalata.12592	Drotundata.15189
Dalata.12593	Drotundata.15191
Dalata.12594	Drotundata.15193
Dalata.12595	Drotundata.15195
Dalata.12596	Drotundata.15196
Dalata.12597	Drotundata.35339
Dalata.12599	Drotundata.33722
Dalata.126	Drotundata.1124
Dalata.12600	Drotundata.33723
Dalata.12601	Drotundata.15096
Dalata.12603	Drotundata.15094
Dalata.12604	Drotundata.15093
Dalata.12606	Drotundata.15092
Dalata.12607	Drotundata.15091
Dalata.12608	Drotundata.15090
Dalata.12609	Drotundata.15089
Dalata.12610	Drotundata.15075
Dalata.12611	Drotundata.15078
Dalata.12612	Drotundata.15079
Dalata.12613	Drotundata.15080
Dalata.12614	Drotundata.15081
Dalata.12617	Drotundata.15088
Dalata.12618	Drotundata.15087
Dalata.1262	Drotundata.1656
Dalata.12620	Drotundata.15005
Dalata.12621	Drotundata.15004
Dalata.12622	Drotundata.33100
Dalata.12625	Drotundata.15057
Dalata.12627	Drotundata.15056
Dalata.12628	Drotundata.15072
Dalata.12629	Drotundata.15071
Dalata.12632	Drotundata.15069
Dalata.12633	Drotundata.15068
Dalata.12634	Drotundata.15066
Dalata.12636	Drotundata.15064
Dalata.12637	Drotundata.15063
Dalata.12638	Drotundata.15062
Dalata.12639	Drotundata.15061
Dalata.1264	Drotundata.1651
Dalata.12640	Drotundata.15060
Dalata.12642	Drotundata.31293
Dalata.12643	Drotundata.32155
Dalata.12644	Drotundata.32156
Dalata.12646	Drotundata.15033
Dalata.12647	Drotundata.15034
Dalata.12649	Drotundata.15035
Dalata.1265	Drotundata.33157
Dalata.12650	Drotundata.15037
Dalata.12651	Drotundata.15038
Dalata.12652	Drotundata.15054
Dalata.12653	Drotundata.15053
Dalata.12654	Drotundata.15051
Dalata.12655	Drotundata.15050
Dalata.12657	Drotundata.15047
Dalata.12659	Drotundata.15046
Dalata.12662	Drotundata.15043
Dalata.12663	Drotundata.15040
Dalata.12666	Drotundata.31932
Dalata.12668	Drotundata.32713
Dalata.12668	Drotundata.35161
Dalata.12669	Drotundata.15009
Dalata.1267	Drotundata.32994
Dalata.12670	Drotundata.33390
Dalata.12671	Drotundata.15012
Dalata.12673	Drotundata.15013
Dalata.12675	Drotundata.15016
Dalata.12675	Drotundata.33399
Dalata.12677	Drotundata.15017
Dalata.12677	Drotundata.33400
Dalata.12678	Drotundata.27498
Dalata.12679	Drotundata.27499
Dalata.1268	Drotundata.34351
Dalata.12680	Drotundata.27501
Dalata.12681	Drotundata.27502
Dalata.12683	Drotundata.27506
Dalata.12684	Drotundata.15031
Dalata.12685	Drotundata.15030
Dalata.12686	Drotundata.15029
Dalata.12687	Drotundata.15028
Dalata.12688	Drotundata.15026
Dalata.12689	Drotundata.15025
Dalata.1269	Drotundata.35071
Dalata.12690	Drotundata.15024
Dalata.12691	Drotundata.15023
Dalata.12693	Drotundata.15020
Dalata.12696	Drotundata.14955
Dalata.127	Drotundata.1126
Dalata.1270	Drotundata.32991
Dalata.12700	Drotundata.14957
Dalata.12701	Drotundata.14958
Dalata.12702	Drotundata.14960
Dalata.12703	Drotundata.14961
Dalata.12704	Drotundata.14962
Dalata.12705	Drotundata.14963
Dalata.12706	Drotundata.14964
Dalata.12707	Drotundata.14966
Dalata.12708	Drotundata.14967
Dalata.12711	Drotundata.14969
Dalata.12712	Drotundata.14970
Dalata.12713	Drotundata.14971
Dalata.12714	Drotundata.14972
Dalata.12715	Drotundata.14973
Dalata.12716	Drotundata.14974
Dalata.12717	Drotundata.14975
Dalata.12718	Drotundata.14977
Dalata.12719	Drotundata.14978
Dalata.12721	Drotundata.14979
Dalata.12722	Drotundata.14980
Dalata.12724	Drotundata.14981
Dalata.12726	Drotundata.14983
Dalata.12729	Drotundata.14985
Dalata.1273	Drotundata.34309
Dalata.12731	Drotundata.14990
Dalata.12735	Drotundata.14991
Dalata.12737	Drotundata.25231
Dalata.12738	Drotundata.14992
Dalata.12739	Drotundata.14993
Dalata.12740	Drotundata.14994
Dalata.12742	Drotundata.14996
Dalata.12743	Drotundata.14997
Dalata.12744	Drotundata.14998
Dalata.12745	Drotundata.14859
Dalata.12746	Drotundata.14863
Dalata.12748	Drotundata.14865
Dalata.12749	Drotundata.14866
Dalata.1275	Drotundata.34307
Dalata.12750	Drotundata.14867
Dalata.12751	Drotundata.14858
Dalata.12752	Drotundata.14857
Dalata.12753	Drotundata.14855
Dalata.12754	Drotundata.14854
Dalata.12755	Drotundata.14851
Dalata.12756	Drotundata.14850
Dalata.12758	Drotundata.14848
Dalata.12759	Drotundata.14847
Dalata.12760	Drotundata.14846
Dalata.12762	Drotundata.14845
Dalata.12763	Drotundata.14844
Dalata.12765	Drotundata.14842
Dalata.12767	Drotundata.14907
Dalata.12768	Drotundata.14908
Dalata.12769	Drotundata.14909
Dalata.1277	Drotundata.1945
Dalata.12770	Drotundata.14911
Dalata.12771	Drotundata.14912
Dalata.12773	Drotundata.14913
Dalata.12774	Drotundata.14914
Dalata.12775	Drotundata.14915
Dalata.12776	Drotundata.14916
Dalata.12777	Drotundata.14917
Dalata.12779	Drotundata.14948
Dalata.12780	Drotundata.14949
Dalata.12782	Drotundata.14952
Dalata.12783	Drotundata.14953
Dalata.12784	Drotundata.14898
Dalata.12785	Drotundata.14899
Dalata.12788	Drotundata.14903
Dalata.12789	Drotundata.14904
Dalata.1279	Drotundata.1929
Dalata.12790	Drotundata.14905
Dalata.12791	Drotundata.14897
Dalata.12792	Drotundata.14896
Dalata.12794	Drotundata.14894
Dalata.12795	Drotundata.14893
Dalata.12796	Drotundata.14892
Dalata.12797	Drotundata.14891
Dalata.12798	Drotundata.14890
Dalata.12799	Drotundata.14889
Dalata.128	Drotundata.1127
Dalata.12800	Drotundata.14888
Dalata.12801	Drotundata.14887
Dalata.12802	Drotundata.14886
Dalata.12804	Drotundata.14884
Dalata.12806	Drotundata.14881
Dalata.12809	Drotundata.14879
Dalata.12810	Drotundata.14838
Dalata.12811	Drotundata.14836
Dalata.12812	Drotundata.14834
Dalata.12815	Drotundata.14832
Dalata.12816	Drotundata.14831
Dalata.12817	Drotundata.14830
Dalata.12818	Drotundata.14829
Dalata.12819	Drotundata.14828
Dalata.1282	Drotundata.1959
Dalata.12820	Drotundata.14827
Dalata.12823	Drotundata.14825
Dalata.12824	Drotundata.14824
Dalata.12825	Drotundata.14823
Dalata.12826	Drotundata.14822
Dalata.12828	Drotundata.14820
Dalata.12829	Drotundata.14819
Dalata.1283	Drotundata.1947
Dalata.12830	Drotundata.14815
Dalata.12831	Drotundata.30776
Dalata.12832	Drotundata.30774
Dalata.12833	Drotundata.30772
Dalata.12834	Drotundata.30771
Dalata.12835	Drotundata.30767
Dalata.12836	Drotundata.30766
Dalata.12837	Drotundata.30765
Dalata.12838	Drotundata.30763
Dalata.12839	Drotundata.30762
Dalata.12840	Drotundata.30761
Dalata.12841	Drotundata.30760
Dalata.12842	Drotundata.30759
Dalata.12843	Drotundata.30758
Dalata.12844	Drotundata.30757
Dalata.12845	Drotundata.30756
Dalata.12847	Drotundata.30754
Dalata.12848	Drotundata.30753
Dalata.12849	Drotundata.30752
Dalata.12850	Drotundata.30751
Dalata.12851	Drotundata.30750
Dalata.12852	Drotundata.30777
Dalata.12853	Drotundata.30778
Dalata.12854	Drotundata.30779
Dalata.12855	Drotundata.30780
Dalata.12856	Drotundata.14780
Dalata.12858	Drotundata.14778
Dalata.1286	Drotundata.27877
Dalata.12860	Drotundata.14775
Dalata.12861	Drotundata.14774
Dalata.12862	Drotundata.14773
Dalata.12863	Drotundata.30781
Dalata.12864	Drotundata.30782
Dalata.12865	Drotundata.30783
Dalata.12865	Drotundata.30784
Dalata.12868	Drotundata.14799
Dalata.12869	Drotundata.14782
Dalata.12871	Drotundata.14805
Dalata.12876	Drotundata.14787
Dalata.12877	Drotundata.14789
Dalata.12878	Drotundata.14790
Dalata.12880	Drotundata.14792
Dalata.12881	Drotundata.30785
Dalata.12882	Drotundata.30787
Dalata.12883	Drotundata.30788
Dalata.12885	Drotundata.30790
Dalata.12889	Drotundata.14794
Dalata.12890	Drotundata.14795
Dalata.12891	Drotundata.14796
Dalata.12892	Drotundata.14797
Dalata.12893	Drotundata.14798
Dalata.12894	Drotundata.20924
Dalata.12894	Drotundata.30791
Dalata.12895	Drotundata.30792
Dalata.12896	Drotundata.30793
Dalata.12897	Drotundata.30794
Dalata.12898	Drotundata.30795
Dalata.129	Drotundata.1128
Dalata.12906	Drotundata.14750
Dalata.12909	Drotundata.14757
Dalata.1291	Drotundata.1847
Dalata.12912	Drotundata.30797
Dalata.12913	Drotundata.30798
Dalata.12916	Drotundata.14749
Dalata.12919	Drotundata.14747
Dalata.12922	Drotundata.14745
Dalata.12923	Drotundata.30801
Dalata.12924	Drotundata.30802
Dalata.12925	Drotundata.30803
Dalata.12926	Drotundata.30804
Dalata.12927	Drotundata.30805
Dalata.12928	Drotundata.30806
Dalata.12929	Drotundata.30807
Dalata.12930	Drotundata.30808
Dalata.12931	Drotundata.30809
Dalata.12932	Drotundata.30810
Dalata.12933	Drotundata.30811
Dalata.12934	Drotundata.30812
Dalata.12936	Drotundata.30814
Dalata.12938	Drotundata.30815
Dalata.12939	Drotundata.14744
Dalata.12940	Drotundata.14743
Dalata.12941	Drotundata.14742
Dalata.12945	Drotundata.14737
Dalata.12948	Drotundata.14736
Dalata.12949	Drotundata.27585
Dalata.12951	Drotundata.14732
Dalata.12952	Drotundata.14728
Dalata.12953	Drotundata.14729
Dalata.12954	Drotundata.14730
Dalata.12955	Drotundata.14693
Dalata.12956	Drotundata.14692
Dalata.12957	Drotundata.14691
Dalata.12959	Drotundata.14689
Dalata.12961	Drotundata.14726
Dalata.12962	Drotundata.14725
Dalata.12965	Drotundata.14723
Dalata.12966	Drotundata.14722
Dalata.12968	Drotundata.14720
Dalata.12969	Drotundata.14719
Dalata.12970	Drotundata.14718
Dalata.12972	Drotundata.30817
Dalata.12972	Drotundata.30818
Dalata.12974	Drotundata.30819
Dalata.12975	Drotundata.30823
Dalata.12976	Drotundata.30824
Dalata.12976	Drotundata.30825
Dalata.12977	Drotundata.30826
Dalata.12978	Drotundata.30827
Dalata.12980	Drotundata.30829
Dalata.12981	Drotundata.30830
Dalata.12982	Drotundata.30831
Dalata.12983	Drotundata.30834
Dalata.12984	Drotundata.30836
Dalata.12985	Drotundata.30838
Dalata.12986	Drotundata.30839
Dalata.12987	Drotundata.30840
Dalata.12988	Drotundata.30841
Dalata.12989	Drotundata.30842
Dalata.12990	Drotundata.14717
Dalata.12993	Drotundata.14716
Dalata.12994	Drotundata.14715
Dalata.12995	Drotundata.14714
Dalata.12996	Drotundata.14713
Dalata.12998	Drotundata.14711
Dalata.13	Drotundata.1284
Dalata.130	Drotundata.1129
Dalata.13000	Drotundata.14710
Dalata.13001	Drotundata.14707
Dalata.13002	Drotundata.5728
Dalata.13002	Drotundata.5729
Dalata.13003	Drotundata.14706
Dalata.13004	Drotundata.14705
Dalata.13006	Drotundata.14703
Dalata.13007	Drotundata.14702
Dalata.13008	Drotundata.14701
Dalata.13009	Drotundata.14700
Dalata.13012	Drotundata.14698
Dalata.13013	Drotundata.14697
Dalata.13014	Drotundata.14696
Dalata.13015	Drotundata.30843
Dalata.13016	Drotundata.30844
Dalata.13018	Drotundata.30845
Dalata.13019	Drotundata.30846
Dalata.13020	Drotundata.30847
Dalata.13021	Drotundata.14688
Dalata.13021	Drotundata.5747
Dalata.13022	Drotundata.14687
Dalata.13023	Drotundata.14686
Dalata.13025	Drotundata.14685
Dalata.13026	Drotundata.14684
Dalata.13027	Drotundata.30848
Dalata.13028	Drotundata.30849
Dalata.13030	Drotundata.30850
Dalata.13031	Drotundata.30851
Dalata.13033	Drotundata.30852
Dalata.13034	Drotundata.30853
Dalata.13038	Drotundata.30857
Dalata.13040	Drotundata.14683
Dalata.13041	Drotundata.14682
Dalata.13042	Drotundata.14681
Dalata.13043	Drotundata.14680
Dalata.13044	Drotundata.14679
Dalata.13046	Drotundata.14678
Dalata.13047	Drotundata.14677
Dalata.13048	Drotundata.14676
Dalata.13049	Drotundata.14674
Dalata.13051	Drotundata.14672
Dalata.13052	Drotundata.14671
Dalata.13053	Drotundata.14669
Dalata.13054	Drotundata.14668
Dalata.13055	Drotundata.14667
Dalata.13056	Drotundata.14666
Dalata.13057	Drotundata.14665
Dalata.13058	Drotundata.14664
Dalata.13059	Drotundata.14662
Dalata.13061	Drotundata.14664
Dalata.13063	Drotundata.14661
Dalata.13065	Drotundata.14658
Dalata.13066	Drotundata.14657
Dalata.13067	Drotundata.14656
Dalata.13068	Drotundata.14655
Dalata.13069	Drotundata.14654
Dalata.13071	Drotundata.14624
Dalata.13071	Drotundata.14636
Dalata.13072	Drotundata.14635
Dalata.13073	Drotundata.14634
Dalata.13074	Drotundata.14633
Dalata.13075	Drotundata.14619
Dalata.13076	Drotundata.14618
Dalata.13077	Drotundata.14617
Dalata.13078	Drotundata.14616
Dalata.13079	Drotundata.14629
Dalata.13081	Drotundata.14612
Dalata.13082	Drotundata.14625
Dalata.13084	Drotundata.14653
Dalata.13085	Drotundata.14652
Dalata.13086	Drotundata.14649
Dalata.13087	Drotundata.14648
Dalata.13088	Drotundata.14647
Dalata.13089	Drotundata.14646
Dalata.13090	Drotundata.14645
Dalata.13091	Drotundata.14644
Dalata.13092	Drotundata.14643
Dalata.13093	Drotundata.14640
Dalata.13094	Drotundata.14639
Dalata.13098	Drotundata.15887
Dalata.13099	Drotundata.15883
Dalata.131	Drotundata.1135
Dalata.1310	Drotundata.763
Dalata.13101	Drotundata.18983
Dalata.13102	Drotundata.18984
Dalata.13103	Drotundata.18985
Dalata.13104	Drotundata.15880
Dalata.13105	Drotundata.15885
Dalata.13108	Drotundata.15868
Dalata.13109	Drotundata.15869
Dalata.13110	Drotundata.15870
Dalata.13110	Drotundata.266
Dalata.13110	Drotundata.8510
Dalata.13112	Drotundata.15872
Dalata.13113	Drotundata.15873
Dalata.13114	Drotundata.15874
Dalata.13115	Drotundata.15875
Dalata.13115	Drotundata.15876
Dalata.13117	Drotundata.15878
Dalata.13118	Drotundata.15861
Dalata.13120	Drotundata.15863
Dalata.13121	Drotundata.15864
Dalata.13122	Drotundata.15865
Dalata.13123	Drotundata.15866
Dalata.13125	Drotundata.15867
Dalata.13127	Drotundata.15859
Dalata.13128	Drotundata.15858
Dalata.13129	Drotundata.15857
Dalata.1313	Drotundata.1926
Dalata.13130	Drotundata.15856
Dalata.13131	Drotundata.15855
Dalata.13132	Drotundata.15849
Dalata.13133	Drotundata.15850
Dalata.13134	Drotundata.15851
Dalata.13135	Drotundata.34407
Dalata.13136	Drotundata.33104
Dalata.13137	Drotundata.15938
Dalata.13138	Drotundata.15940
Dalata.13139	Drotundata.20513
Dalata.13140	Drotundata.15888
Dalata.13142	Drotundata.15890
Dalata.13143	Drotundata.15893
Dalata.13144	Drotundata.15892
Dalata.13145	Drotundata.841
Dalata.13146	Drotundata.15944
Dalata.13147	Drotundata.15945
Dalata.13149	Drotundata.15946
Dalata.13150	Drotundata.15979
Dalata.13152	Drotundata.15980
Dalata.13153	Drotundata.15981
Dalata.13154	Drotundata.15982
Dalata.13155	Drotundata.16018
Dalata.13156	Drotundata.16017
Dalata.13157	Drotundata.16016
Dalata.13158	Drotundata.16015
Dalata.13175	Drotundata.16014
Dalata.13176	Drotundata.16013
Dalata.13177	Drotundata.34999
Dalata.13178	Drotundata.15966
Dalata.13179	Drotundata.15923
Dalata.13180	Drotundata.15947
Dalata.13181	Drotundata.15948
Dalata.13182	Drotundata.15949
Dalata.13183	Drotundata.11181
Dalata.13184	Drotundata.19658
Dalata.13185	Drotundata.15951
Dalata.13186	Drotundata.15952
Dalata.13188	Drotundata.15954
Dalata.13189	Drotundata.15955
Dalata.13190	Drotundata.15956
Dalata.13191	Drotundata.15958
Dalata.13192	Drotundata.15934
Dalata.13195	Drotundata.15847
Dalata.13198	Drotundata.15846
Dalata.13199	Drotundata.15845
Dalata.132	Drotundata.1136
Dalata.13200	Drotundata.15844
Dalata.13202	Drotundata.15841
Dalata.13203	Drotundata.15840
Dalata.13204	Drotundata.15839
Dalata.13205	Drotundata.15838
Dalata.13206	Drotundata.15837
Dalata.13207	Drotundata.15836
Dalata.13208	Drotundata.15835
Dalata.13209	Drotundata.15832
Dalata.13210	Drotundata.15831
Dalata.13211	Drotundata.15830
Dalata.13212	Drotundata.15829
Dalata.13213	Drotundata.16111
Dalata.13215	Drotundata.31969
Dalata.13216	Drotundata.16035
Dalata.13217	Drotundata.16036
Dalata.13218	Drotundata.16037
Dalata.13219	Drotundata.16039
Dalata.13221	Drotundata.16041
Dalata.13222	Drotundata.16042
Dalata.13225	Drotundata.16043
Dalata.13227	Drotundata.16049
Dalata.13228	Drotundata.16050
Dalata.13232	Drotundata.16053
Dalata.13234	Drotundata.16054
Dalata.13235	Drotundata.16055
Dalata.13236	Drotundata.16056
Dalata.13238	Drotundata.16058
Dalata.13239	Drotundata.16059
Dalata.13240	Drotundata.16060
Dalata.13241	Drotundata.16061
Dalata.13242	Drotundata.16062
Dalata.13243	Drotundata.16063
Dalata.13244	Drotundata.16064
Dalata.13245	Drotundata.16065
Dalata.13246	Drotundata.16066
Dalata.13249	Drotundata.16067
Dalata.13252	Drotundata.16070
Dalata.13253	Drotundata.16071
Dalata.13254	Drotundata.16072
Dalata.13255	Drotundata.16074
Dalata.13256	Drotundata.16076
Dalata.13257	Drotundata.16077
Dalata.13258	Drotundata.16078
Dalata.13259	Drotundata.16079
Dalata.13260	Drotundata.16081
Dalata.13261	Drotundata.16082
Dalata.13262	Drotundata.16083
Dalata.13263	Drotundata.16084
Dalata.13264	Drotundata.16085
Dalata.13265	Drotundata.16086
Dalata.13266	Drotundata.16087
Dalata.13270	Drotundata.16089
Dalata.13274	Drotundata.16091
Dalata.13275	Drotundata.16092
Dalata.13276	Drotundata.16093
Dalata.13277	Drotundata.16094
Dalata.13278	Drotundata.16095
Dalata.13279	Drotundata.16096
Dalata.13280	Drotundata.16097
Dalata.13281	Drotundata.16098
Dalata.13282	Drotundata.16099
Dalata.13283	Drotundata.16101
Dalata.13285	Drotundata.16102
Dalata.13286	Drotundata.16105
Dalata.13287	Drotundata.16106
Dalata.13288	Drotundata.16107
Dalata.13294	Drotundata.16112
Dalata.133	Drotundata.1137
Dalata.13303	Drotundata.16135
Dalata.13305	Drotundata.16133
Dalata.13306	Drotundata.16132
Dalata.13307	Drotundata.16131
Dalata.13307	Drotundata.3822
Dalata.13308	Drotundata.16130
Dalata.13309	Drotundata.16129
Dalata.13310	Drotundata.16128
Dalata.13311	Drotundata.16127
Dalata.13312	Drotundata.16126
Dalata.13313	Drotundata.16125
Dalata.13314	Drotundata.16124
Dalata.13316	Drotundata.16123
Dalata.13317	Drotundata.16122
Dalata.13318	Drotundata.16120
Dalata.13319	Drotundata.16119
Dalata.13322	Drotundata.16116
Dalata.13323	Drotundata.16115
Dalata.13324	Drotundata.16114
Dalata.13325	Drotundata.16140
Dalata.13326	Drotundata.16141
Dalata.13327	Drotundata.16142
Dalata.13328	Drotundata.16143
Dalata.13329	Drotundata.16144
Dalata.13330	Drotundata.16145
Dalata.13332	Drotundata.21651
Dalata.13333	Drotundata.19616
Dalata.13335	Drotundata.16151
Dalata.13336	Drotundata.16153
Dalata.13340	Drotundata.16158
Dalata.13346	Drotundata.16159
Dalata.13346	Drotundata.16161
Dalata.13348	Drotundata.16190
Dalata.13349	Drotundata.16188
Dalata.13351	Drotundata.16186
Dalata.13352	Drotundata.16184
Dalata.13354	Drotundata.16183
Dalata.13355	Drotundata.16182
Dalata.13356	Drotundata.16181
Dalata.13357	Drotundata.16180
Dalata.13358	Drotundata.16178
Dalata.13358	Drotundata.16179
Dalata.13360	Drotundata.16177
Dalata.13361	Drotundata.16176
Dalata.13362	Drotundata.16175
Dalata.13363	Drotundata.16174
Dalata.13364	Drotundata.16173
Dalata.13365	Drotundata.16172
Dalata.13366	Drotundata.16169
Dalata.13367	Drotundata.16168
Dalata.13368	Drotundata.16167
Dalata.13369	Drotundata.16166
Dalata.13370	Drotundata.16165
Dalata.13374	Drotundata.8946
Dalata.13375	Drotundata.16231
Dalata.13376	Drotundata.16192
Dalata.13378	Drotundata.16194
Dalata.13380	Drotundata.16195
Dalata.13381	Drotundata.16196
Dalata.13382	Drotundata.16200
Dalata.13383	Drotundata.16201
Dalata.13384	Drotundata.16203
Dalata.13385	Drotundata.16205
Dalata.13386	Drotundata.16206
Dalata.13387	Drotundata.16207
Dalata.13390	Drotundata.16208
Dalata.13391	Drotundata.27152
Dalata.13393	Drotundata.16209
Dalata.134	Drotundata.1141
Dalata.13400	Drotundata.16212
Dalata.13401	Drotundata.16214
Dalata.13403	Drotundata.28953
Dalata.13405	Drotundata.16216
Dalata.13406	Drotundata.16217
Dalata.13407	Drotundata.16219
Dalata.13408	Drotundata.16220
Dalata.1341	Drotundata.1802
Dalata.13410	Drotundata.16221
Dalata.13411	Drotundata.16222
Dalata.13412	Drotundata.16223
Dalata.13413	Drotundata.16225
Dalata.13414	Drotundata.16224
Dalata.13415	Drotundata.16226
Dalata.13417	Drotundata.16228
Dalata.13420	Drotundata.16230
Dalata.13423	Drotundata.16233
Dalata.13424	Drotundata.16235
Dalata.13427	Drotundata.16236
Dalata.1343	Drotundata.1808
Dalata.13430	Drotundata.16237
Dalata.13431	Drotundata.16243
Dalata.13432	Drotundata.16242
Dalata.13433	Drotundata.16241
Dalata.13434	Drotundata.16239
Dalata.13434	Drotundata.16240
Dalata.13437	Drotundata.16245
Dalata.13438	Drotundata.16247
Dalata.13440	Drotundata.24507
Dalata.13442	Drotundata.16249
Dalata.13444	Drotundata.16250
Dalata.13445	Drotundata.16251
Dalata.13446	Drotundata.16253
Dalata.13448	Drotundata.16256
Dalata.13449	Drotundata.16258
Dalata.1345	Drotundata.1806
Dalata.13450	Drotundata.16259
Dalata.13451	Drotundata.16261
Dalata.13452	Drotundata.16263
Dalata.13453	Drotundata.16264
Dalata.13454	Drotundata.16265
Dalata.13455	Drotundata.16266
