Dalata.126	Ddumetorum.20355
Dalata.6659	Ddumetorum.19464
Dalata.6660	Ddumetorum.19465
Dalata.6661	Ddumetorum.19466
Dalata.6662	Ddumetorum.19467
Dalata.6663	Ddumetorum.19468
Dalata.6664	Ddumetorum.19469
Dalata.6665	Ddumetorum.19470
Dalata.6668	Ddumetorum.19473
Dalata.6669	Ddumetorum.19474
Dalata.6670	Ddumetorum.19475
Dalata.6672	Ddumetorum.19476
Dalata.6674	Ddumetorum.19477
Dalata.6675	Ddumetorum.19478
Dalata.6676	Ddumetorum.19479
Dalata.6677	Ddumetorum.19480
Dalata.6678	Ddumetorum.19481
Dalata.6679	Ddumetorum.19482
Dalata.6680	Ddumetorum.19483
Dalata.6682	Ddumetorum.19461
Dalata.6685	Ddumetorum.19460
Dalata.6686	Ddumetorum.19459
Dalata.6687	Ddumetorum.19457
Dalata.6689	Ddumetorum.19456
Dalata.6690	Ddumetorum.19455
Dalata.6691	Ddumetorum.19454
Dalata.6693	Ddumetorum.19453
Dalata.6694	Ddumetorum.19452
Dalata.6699	Ddumetorum.19450
Dalata.6700	Ddumetorum.19449
Dalata.6701	Ddumetorum.19448
Dalata.6702	Ddumetorum.19447
Dalata.6703	Ddumetorum.19446
Dalata.6704	Ddumetorum.19445
Dalata.6705	Ddumetorum.19444
Dalata.6708	Ddumetorum.19443
Dalata.6710	Ddumetorum.19441
Dalata.6711	Ddumetorum.19440
Dalata.6712	Ddumetorum.19439
Dalata.6714	Ddumetorum.19438
Dalata.6715	Ddumetorum.19437
Dalata.6716	Ddumetorum.19436
Dalata.6717	Ddumetorum.19435
Dalata.6718	Ddumetorum.19434
Dalata.6719	Ddumetorum.19433
Dalata.6720	Ddumetorum.19432
Dalata.6721	Ddumetorum.19431
Dalata.6724	Ddumetorum.19430
Dalata.6725	Ddumetorum.19429
Dalata.6726	Ddumetorum.19428
Dalata.6727	Ddumetorum.19427
Dalata.6730	Ddumetorum.19427
Dalata.6731	Ddumetorum.19426
Dalata.6732	Ddumetorum.19425
Dalata.6734	Ddumetorum.19424
Dalata.6736	Ddumetorum.19423
Dalata.6735	Ddumetorum.19422
Dalata.6738	Ddumetorum.19421
Dalata.6739	Ddumetorum.19420
Dalata.6743	Ddumetorum.19418
Dalata.6745	Ddumetorum.19416
Dalata.6746	Ddumetorum.19415
Dalata.6747	Ddumetorum.19414
Dalata.6749	Ddumetorum.19412
Dalata.6750	Ddumetorum.19413
Dalata.6752	Ddumetorum.19411
Dalata.6755	Ddumetorum.19406
Dalata.6757	Ddumetorum.19404
Dalata.6758	Ddumetorum.19403
Dalata.6759	Ddumetorum.19402
Dalata.6761	Ddumetorum.19400
Dalata.6762	Ddumetorum.19399
Dalata.6764	Ddumetorum.19397
Dalata.6767	Ddumetorum.19396
Dalata.6768	Ddumetorum.19395
Dalata.6771	Ddumetorum.19394
Dalata.6772	Ddumetorum.19393
Dalata.6773	Ddumetorum.19392
Dalata.6774	Ddumetorum.19391
Dalata.6775	Ddumetorum.19390
Dalata.6776	Ddumetorum.19389
Dalata.6777	Ddumetorum.19388
Dalata.6779	Ddumetorum.19386
Dalata.6780	Ddumetorum.19385
Dalata.6781	Ddumetorum.19384
Dalata.6782	Ddumetorum.19383
Dalata.6783	Ddumetorum.19382
Dalata.6785	Ddumetorum.19381
Dalata.6786	Ddumetorum.19380
Dalata.6787	Ddumetorum.19379
Dalata.6788	Ddumetorum.19378
Dalata.6789	Ddumetorum.19377
Dalata.6790	Ddumetorum.19376
Dalata.6792	Ddumetorum.19375
Dalata.6793	Ddumetorum.19374
Dalata.6794	Ddumetorum.19373
Dalata.6795	Ddumetorum.19372
Dalata.6797	Ddumetorum.19370
Dalata.6799	Ddumetorum.19368
Dalata.6800	Ddumetorum.19367
Dalata.6801	Ddumetorum.19366
Dalata.6804	Ddumetorum.19365
Dalata.6806	Ddumetorum.19364
Dalata.6807	Ddumetorum.19362
Dalata.6808	Ddumetorum.19361
Dalata.6809	Ddumetorum.19360
Dalata.6810	Ddumetorum.19359
Dalata.6812	Ddumetorum.19358
Dalata.6813	Ddumetorum.19357
Dalata.6815	Ddumetorum.19356
Dalata.6816	Ddumetorum.19355
Dalata.6817	Ddumetorum.19354
Dalata.6818	Ddumetorum.19353
Dalata.6820	Ddumetorum.19350
Dalata.6821	Ddumetorum.19349
Dalata.6822	Ddumetorum.19348
Dalata.6824	Ddumetorum.19346
Dalata.6827	Ddumetorum.19341
Dalata.6829	Ddumetorum.19340
Dalata.6831	Ddumetorum.19339
Dalata.6832	Ddumetorum.19338
Dalata.6834	Ddumetorum.19337
Dalata.6837	Ddumetorum.19336
Dalata.6839	Ddumetorum.19335
Dalata.6840	Ddumetorum.19334
Dalata.6842	Ddumetorum.19333
Dalata.6843	Ddumetorum.19332
Dalata.6844	Ddumetorum.19331
Dalata.6845	Ddumetorum.19330
Dalata.6848	Ddumetorum.19329
Dalata.6849	Ddumetorum.19328
Dalata.6850	Ddumetorum.19327
Dalata.6851	Ddumetorum.19326
Dalata.6852	Ddumetorum.19325
Dalata.6854	Ddumetorum.19324
Dalata.6858	Ddumetorum.19321
Dalata.6861	Ddumetorum.19318
Dalata.6862	Ddumetorum.19317
Dalata.6863	Ddumetorum.19316
Dalata.6865	Ddumetorum.19314
Dalata.6866	Ddumetorum.19313
Dalata.6867	Ddumetorum.19312
Dalata.6868	Ddumetorum.19311
Dalata.6869	Ddumetorum.19310
Dalata.6870	Ddumetorum.19309
Dalata.6872	Ddumetorum.19308
Dalata.6874	Ddumetorum.19307
Dalata.6875	Ddumetorum.19306
Dalata.6876	Ddumetorum.19305
Dalata.6877	Ddumetorum.19304
Dalata.6878	Ddumetorum.19303
Dalata.6880	Ddumetorum.19302
Dalata.6881	Ddumetorum.19301
Dalata.6883	Ddumetorum.19300
Dalata.6884	Ddumetorum.19299
Dalata.6886	Ddumetorum.19298
Dalata.6889	Ddumetorum.19294
Dalata.6890	Ddumetorum.19293
Dalata.6891	Ddumetorum.19292
Dalata.6894	Ddumetorum.19291
Dalata.6896	Ddumetorum.19290
Dalata.6899	Ddumetorum.19289
Dalata.6900	Ddumetorum.19288
Dalata.6901	Ddumetorum.19287
Dalata.6904	Ddumetorum.19286
Dalata.6906	Ddumetorum.19285
Dalata.6907	Ddumetorum.19284
Dalata.6908	Ddumetorum.19283
Dalata.6910	Ddumetorum.19282
Dalata.6911	Ddumetorum.19281
Dalata.6913	Ddumetorum.19279
Dalata.6915	Ddumetorum.19278
Dalata.6916	Ddumetorum.19277
Dalata.6918	Ddumetorum.19276
Dalata.6919	Ddumetorum.19275
Dalata.6920	Ddumetorum.19274
Dalata.6922	Ddumetorum.19273
Dalata.6923	Ddumetorum.19272
Dalata.6925	Ddumetorum.19271
Dalata.6926	Ddumetorum.19270
Dalata.6927	Ddumetorum.19269
Dalata.6929	Ddumetorum.19268
Dalata.6931	Ddumetorum.19266
Dalata.6932	Ddumetorum.19264
Dalata.6934	Ddumetorum.19263
Dalata.6935	Ddumetorum.19262
Dalata.6938	Ddumetorum.19259
Dalata.6940	Ddumetorum.19258
Dalata.6942	Ddumetorum.19257
Dalata.6943	Ddumetorum.19256
Dalata.6944	Ddumetorum.19255
Dalata.6945	Ddumetorum.19254
Dalata.6947	Ddumetorum.19253
Dalata.6949	Ddumetorum.19252
Dalata.6950	Ddumetorum.19251
Dalata.6951	Ddumetorum.19250
Dalata.6952	Ddumetorum.19249
Dalata.6953	Ddumetorum.19248
Dalata.6954	Ddumetorum.19245
Dalata.6955	Ddumetorum.19244
Dalata.6956	Ddumetorum.19243
Dalata.6961	Ddumetorum.19240
Dalata.6964	Ddumetorum.19241
Dalata.6965	Ddumetorum.19242
Dalata.6971	Ddumetorum.19240
Dalata.6974	Ddumetorum.19239
Dalata.6975	Ddumetorum.19238
Dalata.6977	Ddumetorum.19236
Dalata.6978	Ddumetorum.19235
Dalata.6979	Ddumetorum.19234
Dalata.6980	Ddumetorum.19233
Dalata.6981	Ddumetorum.19232
Dalata.6982	Ddumetorum.19231
Dalata.6983	Ddumetorum.19230
Dalata.6984	Ddumetorum.19229
Dalata.6986	Ddumetorum.19228
Dalata.6987	Ddumetorum.19227
Dalata.6988	Ddumetorum.19226
Dalata.6989	Ddumetorum.19225
Dalata.6991	Ddumetorum.19224
Dalata.6994	Ddumetorum.19221
Dalata.6996	Ddumetorum.19220
Dalata.6997	Ddumetorum.19219
Dalata.6998	Ddumetorum.19218
Dalata.7000	Ddumetorum.19216
Dalata.7001	Ddumetorum.19215
Dalata.7002	Ddumetorum.19214
Dalata.7004	Ddumetorum.19213
Dalata.7005	Ddumetorum.19212
Dalata.7006	Ddumetorum.19211
Dalata.7007	Ddumetorum.19210
Dalata.7010	Ddumetorum.19209
Dalata.7011	Ddumetorum.19208
Dalata.7012	Ddumetorum.19207
Dalata.7013	Ddumetorum.19206
Dalata.7014	Ddumetorum.19205
Dalata.7015	Ddumetorum.19204
Dalata.7016	Ddumetorum.19203
Dalata.7018	Ddumetorum.19201
Dalata.7020	Ddumetorum.19200
Dalata.7021	Ddumetorum.19199
Dalata.7022	Ddumetorum.19198
Dalata.7025	Ddumetorum.19197
Dalata.7027	Ddumetorum.19195
Dalata.7028	Ddumetorum.19194
Dalata.7032	Ddumetorum.19193
Dalata.7035	Ddumetorum.19189
Dalata.7037	Ddumetorum.19187
Dalata.7041	Ddumetorum.19184
Dalata.7042	Ddumetorum.19183
Dalata.7043	Ddumetorum.19182
Dalata.7044	Ddumetorum.19181
Dalata.7045	Ddumetorum.19180
Dalata.7046	Ddumetorum.19179
Dalata.7048	Ddumetorum.19178
Dalata.7049	Ddumetorum.19177
Dalata.7050	Ddumetorum.19176
Dalata.7051	Ddumetorum.19175
Dalata.7053	Ddumetorum.19174
Dalata.7055	Ddumetorum.19173
Dalata.7056	Ddumetorum.19172
Dalata.7057	Ddumetorum.19171
Dalata.7058	Ddumetorum.19170
Dalata.7060	Ddumetorum.19168
Dalata.7063	Ddumetorum.19167
Dalata.7066	Ddumetorum.19166
Dalata.7067	Ddumetorum.19165
Dalata.7068	Ddumetorum.19164
Dalata.7069	Ddumetorum.19163
Dalata.7070	Ddumetorum.19162
Dalata.7071	Ddumetorum.19161
Dalata.7074	Ddumetorum.19160
Dalata.7075	Ddumetorum.19159
Dalata.7076	Ddumetorum.19158
Dalata.7077	Ddumetorum.19157
Dalata.7078	Ddumetorum.19156
Dalata.7079	Ddumetorum.19155
Dalata.7080	Ddumetorum.19154
Dalata.7081	Ddumetorum.19153
Dalata.7082	Ddumetorum.19152
Dalata.7083	Ddumetorum.19151
Dalata.7084	Ddumetorum.19150
Dalata.7085	Ddumetorum.19149
Dalata.7086	Ddumetorum.19148
Dalata.7087	Ddumetorum.19147
Dalata.7088	Ddumetorum.19146
Dalata.7089	Ddumetorum.19145
Dalata.7090	Ddumetorum.19144
Dalata.7091	Ddumetorum.19143
Dalata.7093	Ddumetorum.19140
Dalata.7094	Ddumetorum.19139
Dalata.7095	Ddumetorum.19138
Dalata.7096	Ddumetorum.19137
Dalata.7097	Ddumetorum.19136
Dalata.7098	Ddumetorum.19135
Dalata.7099	Ddumetorum.19134
Dalata.7100	Ddumetorum.19133
Dalata.7101	Ddumetorum.19132
Dalata.7102	Ddumetorum.19131
Dalata.7103	Ddumetorum.19130
Dalata.7104	Ddumetorum.19129
Dalata.7105	Ddumetorum.19128
Dalata.7107	Ddumetorum.19126
Dalata.7108	Ddumetorum.19125
Dalata.7111	Ddumetorum.19124
Dalata.7112	Ddumetorum.19123
Dalata.7117	Ddumetorum.19120
Dalata.7118	Ddumetorum.19119
Dalata.7119	Ddumetorum.19118
Dalata.7120	Ddumetorum.19117
Dalata.7121	Ddumetorum.19115
Dalata.7122	Ddumetorum.19112
Dalata.7123	Ddumetorum.19111
Dalata.7124	Ddumetorum.19110
Dalata.7125	Ddumetorum.19109
Dalata.7126	Ddumetorum.19108
Dalata.7127	Ddumetorum.19107
Dalata.7129	Ddumetorum.19106
Dalata.7131	Ddumetorum.19105
Dalata.7132	Ddumetorum.19104
Dalata.7134	Ddumetorum.19103
Dalata.7135	Ddumetorum.19102
Dalata.7136	Ddumetorum.19101
Dalata.7137	Ddumetorum.19100
Dalata.7138	Ddumetorum.19099
Dalata.7139	Ddumetorum.19098
Dalata.7140	Ddumetorum.19097
Dalata.7141	Ddumetorum.19096
Dalata.7142	Ddumetorum.19095
Dalata.7143	Ddumetorum.19094
Dalata.7144	Ddumetorum.19093
Dalata.7149	Ddumetorum.19092
Dalata.7150	Ddumetorum.19091
Dalata.7156	Ddumetorum.19090
Dalata.7157	Ddumetorum.19089
Dalata.7158	Ddumetorum.19088
Dalata.7159	Ddumetorum.19087
Dalata.7160	Ddumetorum.19086
Dalata.7161	Ddumetorum.19085
Dalata.7163	Ddumetorum.19083
Dalata.7164	Ddumetorum.19082
Dalata.7165	Ddumetorum.19081
Dalata.7166	Ddumetorum.19080
Dalata.7167	Ddumetorum.19079
Dalata.7168	Ddumetorum.19078
Dalata.7169	Ddumetorum.19077
Dalata.7171	Ddumetorum.19076
Dalata.7172	Ddumetorum.19075
Dalata.7174	Ddumetorum.19074
Dalata.7175	Ddumetorum.19072
Dalata.7176	Ddumetorum.19071
Dalata.7178	Ddumetorum.19070
Dalata.7179	Ddumetorum.19069
Dalata.7180	Ddumetorum.19068
Dalata.7181	Ddumetorum.19067
Dalata.7182	Ddumetorum.19066
Dalata.7183	Ddumetorum.19065
Dalata.7184	Ddumetorum.19064
Dalata.7185	Ddumetorum.19063
Dalata.7186	Ddumetorum.19062
Dalata.7187	Ddumetorum.19061
Dalata.7189	Ddumetorum.19060
Dalata.7190	Ddumetorum.19059
Dalata.7193	Ddumetorum.19058
Dalata.7194	Ddumetorum.19057
Dalata.7195	Ddumetorum.19056
Dalata.7196	Ddumetorum.19055
Dalata.7197	Ddumetorum.19054
Dalata.7198	Ddumetorum.19052
Dalata.7254	Ddumetorum.16488
Dalata.7255	Ddumetorum.16489
Dalata.7256	Ddumetorum.16490
Dalata.7258	Ddumetorum.16491
Dalata.7259	Ddumetorum.16493
Dalata.7260	Ddumetorum.16494
Dalata.7261	Ddumetorum.16497
Dalata.7262	Ddumetorum.16498
Dalata.7264	Ddumetorum.16499
Dalata.7267	Ddumetorum.16500
Dalata.7269	Ddumetorum.16501
Dalata.7270	Ddumetorum.16502
Dalata.7271	Ddumetorum.16503
Dalata.7272	Ddumetorum.16504
Dalata.7273	Ddumetorum.16505
Dalata.7274	Ddumetorum.16506
Dalata.7276	Ddumetorum.16507
Dalata.7278	Ddumetorum.16511
Dalata.7279	Ddumetorum.16512
Dalata.7280	Ddumetorum.16513
Dalata.7281	Ddumetorum.16514
Dalata.7282	Ddumetorum.16515
Dalata.7283	Ddumetorum.16516
Dalata.7284	Ddumetorum.16517
Dalata.7285	Ddumetorum.16518
Dalata.7287	Ddumetorum.16519
Dalata.7288	Ddumetorum.16520
Dalata.7289	Ddumetorum.16521
Dalata.7290	Ddumetorum.16522
Dalata.7291	Ddumetorum.16523
Dalata.7292	Ddumetorum.16524
Dalata.7294	Ddumetorum.16525
Dalata.7295	Ddumetorum.16526
Dalata.7297	Ddumetorum.16527
Dalata.7301	Ddumetorum.16528
Dalata.7302	Ddumetorum.16529
Dalata.7303	Ddumetorum.16530
Dalata.7304	Ddumetorum.16531
Dalata.7306	Ddumetorum.16533
Dalata.7309	Ddumetorum.16534
Dalata.7312	Ddumetorum.16535
Dalata.7314	Ddumetorum.16536
Dalata.7315	Ddumetorum.16537
Dalata.7316	Ddumetorum.16538
Dalata.7317	Ddumetorum.16539
Dalata.7318	Ddumetorum.16540
Dalata.7319	Ddumetorum.16541
Dalata.7320	Ddumetorum.16542
Dalata.7321	Ddumetorum.16543
Dalata.7322	Ddumetorum.16544
Dalata.7323	Ddumetorum.16545
Dalata.7324	Ddumetorum.16546
Dalata.7326	Ddumetorum.16547
Dalata.7329	Ddumetorum.16548
Dalata.7330	Ddumetorum.16549
Dalata.7331	Ddumetorum.16550
Dalata.7332	Ddumetorum.16551
Dalata.7338	Ddumetorum.16553
Dalata.7339	Ddumetorum.16555
Dalata.7340	Ddumetorum.16556
Dalata.7344	Ddumetorum.16557
Dalata.7345	Ddumetorum.16558
Dalata.7346	Ddumetorum.16559
Dalata.7347	Ddumetorum.16560
Dalata.7348	Ddumetorum.16561
Dalata.7350	Ddumetorum.16563
Dalata.7355	Ddumetorum.16566
Dalata.7356	Ddumetorum.16567
Dalata.7358	Ddumetorum.16568
Dalata.7359	Ddumetorum.16569
Dalata.7360	Ddumetorum.16571
Dalata.7363	Ddumetorum.16572
Dalata.7366	Ddumetorum.16574
Dalata.7368	Ddumetorum.16575
Dalata.7369	Ddumetorum.16576
Dalata.7370	Ddumetorum.16577
Dalata.7371	Ddumetorum.16578
Dalata.7372	Ddumetorum.16579
Dalata.7373	Ddumetorum.16580
Dalata.7375	Ddumetorum.16581
Dalata.7376	Ddumetorum.16582
Dalata.7377	Ddumetorum.16583
Dalata.7380	Ddumetorum.16584
Dalata.7381	Ddumetorum.16585
Dalata.7383	Ddumetorum.16586
Dalata.7384	Ddumetorum.16587
Dalata.7385	Ddumetorum.16588
Dalata.7386	Ddumetorum.16589
Dalata.7387	Ddumetorum.16590
Dalata.7388	Ddumetorum.16591
Dalata.7389	Ddumetorum.16592
Dalata.7391	Ddumetorum.16593
Dalata.7392	Ddumetorum.16594
Dalata.7393	Ddumetorum.16595
Dalata.7394	Ddumetorum.16596
Dalata.7398	Ddumetorum.16599
Dalata.7399	Ddumetorum.16600
Dalata.7400	Ddumetorum.16601
Dalata.7401	Ddumetorum.16602
Dalata.7403	Ddumetorum.16603
Dalata.7404	Ddumetorum.16604
Dalata.7405	Ddumetorum.16605
Dalata.7409	Ddumetorum.16606
Dalata.7410	Ddumetorum.16607
Dalata.7412	Ddumetorum.16609
Dalata.7413	Ddumetorum.16610
Dalata.7414	Ddumetorum.16611
Dalata.7415	Ddumetorum.16612
Dalata.7416	Ddumetorum.16615
Dalata.7417	Ddumetorum.16616
Dalata.7418	Ddumetorum.16617
Dalata.7419	Ddumetorum.16618
Dalata.7420	Ddumetorum.16619
Dalata.7421	Ddumetorum.16620
Dalata.7422	Ddumetorum.16621
Dalata.7423	Ddumetorum.16622
Dalata.7424	Ddumetorum.16623
Dalata.7425	Ddumetorum.16624
Dalata.7426	Ddumetorum.16625
Dalata.7430	Ddumetorum.16626
Dalata.7435	Ddumetorum.16627
Dalata.7436	Ddumetorum.16628
Dalata.7439	Ddumetorum.16631
Dalata.7440	Ddumetorum.16632
Dalata.7441	Ddumetorum.16634
Dalata.7445	Ddumetorum.16630
Dalata.7447	Ddumetorum.16632
Dalata.7451	Ddumetorum.16636
Dalata.7453	Ddumetorum.16637
Dalata.7454	Ddumetorum.16639
Dalata.7460	Ddumetorum.16640
Dalata.7461	Ddumetorum.16641
Dalata.7465	Ddumetorum.16644
Dalata.7467	Ddumetorum.16646
Dalata.7468	Ddumetorum.16647
Dalata.7469	Ddumetorum.16650
Dalata.7471	Ddumetorum.16652
Dalata.7472	Ddumetorum.16653
Dalata.7473	Ddumetorum.16654
Dalata.7474	Ddumetorum.16655
Dalata.7476	Ddumetorum.16657
Dalata.7477	Ddumetorum.16658
Dalata.7478	Ddumetorum.16659
Dalata.7479	Ddumetorum.16660
Dalata.7480	Ddumetorum.16661
Dalata.7482	Ddumetorum.16663
Dalata.7483	Ddumetorum.16664
Dalata.7485	Ddumetorum.16665
Dalata.7488	Ddumetorum.16670
Dalata.7489	Ddumetorum.16671
Dalata.7490	Ddumetorum.16672
Dalata.7491	Ddumetorum.16674
Dalata.7492	Ddumetorum.16675
Dalata.7493	Ddumetorum.16676
Dalata.7494	Ddumetorum.16677
Dalata.7495	Ddumetorum.16678
Dalata.7496	Ddumetorum.16679
Dalata.7497	Ddumetorum.16680
Dalata.7498	Ddumetorum.16681
Dalata.7561	Ddumetorum.16777
Dalata.7563	Ddumetorum.16771
Dalata.7565	Ddumetorum.16769
Dalata.7568	Ddumetorum.16765
Dalata.7571	Ddumetorum.16763
Dalata.7572	Ddumetorum.16762
Dalata.7573	Ddumetorum.16761
Dalata.7574	Ddumetorum.16760
Dalata.7576	Ddumetorum.16759
Dalata.7577	Ddumetorum.16758
Dalata.7578	Ddumetorum.16757
Dalata.7579	Ddumetorum.16756
Dalata.7587	Ddumetorum.16741
Dalata.7588	Ddumetorum.16742
Dalata.7589	Ddumetorum.16743
Dalata.7592	Ddumetorum.16744
Dalata.7594	Ddumetorum.16745
Dalata.7596	Ddumetorum.16748
Dalata.7597	Ddumetorum.16749
Dalata.7599	Ddumetorum.16750
Dalata.7600	Ddumetorum.16751
Dalata.7601	Ddumetorum.16752
Dalata.7610	Ddumetorum.16753
Dalata.7611	Ddumetorum.16754
Dalata.7612	Ddumetorum.16755
Dalata.7616	Ddumetorum.16730
Dalata.7617	Ddumetorum.16729
Dalata.7618	Ddumetorum.16728
Dalata.7621	Ddumetorum.16726
Dalata.7622	Ddumetorum.16724
Dalata.7623	Ddumetorum.16723
Dalata.7627	Ddumetorum.16722
Dalata.7628	Ddumetorum.16721
Dalata.7629	Ddumetorum.16720
Dalata.7631	Ddumetorum.16718
Dalata.7632	Ddumetorum.16717
Dalata.7634	Ddumetorum.16716
Dalata.7638	Ddumetorum.16716
Dalata.7642	Ddumetorum.16715
Dalata.7645	Ddumetorum.16713
Dalata.7652	Ddumetorum.16711
Dalata.7653	Ddumetorum.16710
Dalata.7654	Ddumetorum.16709
Dalata.7655	Ddumetorum.16708
Dalata.7657	Ddumetorum.16707
Dalata.7658	Ddumetorum.16706
Dalata.7659	Ddumetorum.16705
Dalata.7661	Ddumetorum.16704
Dalata.7662	Ddumetorum.16703
Dalata.7663	Ddumetorum.16702
Dalata.7664	Ddumetorum.16701
Dalata.7665	Ddumetorum.16700
Dalata.7666	Ddumetorum.16699
Dalata.7671	Ddumetorum.16698
Dalata.7675	Ddumetorum.16692
Dalata.7682	Ddumetorum.16690
Dalata.7686	Ddumetorum.16688
Dalata.7688	Ddumetorum.16686
Dalata.7690	Ddumetorum.16685
Dalata.7695	Ddumetorum.16684
Dalata.7700	Ddumetorum.16683
Dalata.7511	Ddumetorum.16807
Dalata.7512	Ddumetorum.16806
Dalata.7513	Ddumetorum.16805
Dalata.7514	Ddumetorum.16804
Dalata.7515	Ddumetorum.16803
Dalata.7516	Ddumetorum.16802
Dalata.7517	Ddumetorum.16801
Dalata.7781	Ddumetorum.16814
Dalata.7782	Ddumetorum.16812
Dalata.7783	Ddumetorum.16811
Dalata.7784	Ddumetorum.16810
Dalata.7793	Ddumetorum.16808
Dalata.7500	Ddumetorum.16941
Dalata.7503	Ddumetorum.16947
Dalata.7504	Ddumetorum.16944
Dalata.7505	Ddumetorum.16943
Dalata.7509	Ddumetorum.16950
Dalata.7510	Ddumetorum.16954
Dalata.7701	Ddumetorum.16939
Dalata.7703	Ddumetorum.16927
Dalata.7705	Ddumetorum.16923
Dalata.7707	Ddumetorum.16919
Dalata.7711	Ddumetorum.16912
Dalata.7712	Ddumetorum.16911
Dalata.7713	Ddumetorum.16909
Dalata.7718	Ddumetorum.16899
Dalata.7719	Ddumetorum.16897
Dalata.7721	Ddumetorum.16894
Dalata.7723	Ddumetorum.16893
Dalata.7726	Ddumetorum.16888
Dalata.7731	Ddumetorum.16877
Dalata.7732	Ddumetorum.16876
Dalata.7736	Ddumetorum.16871
Dalata.7739	Ddumetorum.16868
Dalata.7743	Ddumetorum.16865
Dalata.7747	Ddumetorum.16863
Dalata.7749	Ddumetorum.16861
Dalata.7751	Ddumetorum.16857
Dalata.7752	Ddumetorum.16856
Dalata.7753	Ddumetorum.16855
Dalata.7760	Ddumetorum.16853
Dalata.7761	Ddumetorum.16852
Dalata.7762	Ddumetorum.16851
Dalata.7764	Ddumetorum.16849
Dalata.7766	Ddumetorum.16848
Dalata.7767	Ddumetorum.16847
Dalata.7768	Ddumetorum.16846
Dalata.7769	Ddumetorum.16845
Dalata.7771	Ddumetorum.16842
Dalata.7802	Ddumetorum.16967
Dalata.7803	Ddumetorum.16962
Dalata.7805	Ddumetorum.16977
Dalata.7806	Ddumetorum.16978
Dalata.7808	Ddumetorum.16973
Dalata.7809	Ddumetorum.16972
Dalata.7810	Ddumetorum.16957
Dalata.7813	Ddumetorum.16985
Dalata.7815	Ddumetorum.16986
Dalata.7819	Ddumetorum.16987
Dalata.7821	Ddumetorum.16988
Dalata.7822	Ddumetorum.16992
Dalata.7823	Ddumetorum.17002
Dalata.7824	Ddumetorum.16999
Dalata.7825	Ddumetorum.16994
Dalata.7826	Ddumetorum.17004
Dalata.7828	Ddumetorum.17013
Dalata.7829	Ddumetorum.17006
Dalata.7830	Ddumetorum.17015
Dalata.7832	Ddumetorum.17016
Dalata.7833	Ddumetorum.17019
Dalata.7838	Ddumetorum.17035
Dalata.7839	Ddumetorum.17047
Dalata.7840	Ddumetorum.17052
Dalata.7844	Ddumetorum.17053
Dalata.7852	Ddumetorum.17060
Dalata.7853	Ddumetorum.17062
Dalata.7854	Ddumetorum.17065
Dalata.7857	Ddumetorum.17090
Dalata.7858	Ddumetorum.17092
Dalata.7859	Ddumetorum.17094
Dalata.7860	Ddumetorum.17095
Dalata.7863	Ddumetorum.17099
Dalata.7869	Ddumetorum.17101
Dalata.7870	Ddumetorum.17102
Dalata.7871	Ddumetorum.17103
Dalata.7872	Ddumetorum.17104
Dalata.7873	Ddumetorum.17104
Dalata.7877	Ddumetorum.17106
Dalata.7879	Ddumetorum.17110
Dalata.7890	Ddumetorum.17115
Dalata.7892	Ddumetorum.17116
Dalata.7896	Ddumetorum.17117
Dalata.7897	Ddumetorum.17119
Dalata.7898	Ddumetorum.17120
Dalata.7899	Ddumetorum.17121
Dalata.7901	Ddumetorum.17122
Dalata.7902	Ddumetorum.17124
Dalata.7906	Ddumetorum.17125
Dalata.7907	Ddumetorum.17129
Dalata.7909	Ddumetorum.17131
Dalata.7912	Ddumetorum.17134
Dalata.7913	Ddumetorum.17142
Dalata.7914	Ddumetorum.17136
Dalata.7915	Ddumetorum.17137
Dalata.7916	Ddumetorum.17138
Dalata.7918	Ddumetorum.17140
Dalata.7930	Ddumetorum.17871
Dalata.7931	Ddumetorum.17872
Dalata.7933	Ddumetorum.17875
Dalata.7934	Ddumetorum.17876
Dalata.7935	Ddumetorum.17877
Dalata.7937	Ddumetorum.17878
Dalata.7938	Ddumetorum.17880
Dalata.7939	Ddumetorum.17881
Dalata.7940	Ddumetorum.17882
Dalata.7941	Ddumetorum.17883
Dalata.7943	Ddumetorum.17884
Dalata.7944	Ddumetorum.17885
Dalata.7946	Ddumetorum.17886
Dalata.7947	Ddumetorum.17887
Dalata.7951	Ddumetorum.17888
Dalata.7958	Ddumetorum.17889
Dalata.7959	Ddumetorum.17890
Dalata.7961	Ddumetorum.17891
Dalata.7962	Ddumetorum.17892
Dalata.7963	Ddumetorum.17893
Dalata.7964	Ddumetorum.17894
Dalata.7965	Ddumetorum.17895
Dalata.7966	Ddumetorum.17896
Dalata.7968	Ddumetorum.17897
Dalata.7969	Ddumetorum.17902
Dalata.7970	Ddumetorum.17903
Dalata.7971	Ddumetorum.17905
Dalata.7973	Ddumetorum.17907
Dalata.7975	Ddumetorum.17909
Dalata.7976	Ddumetorum.17910
Dalata.7977	Ddumetorum.17911
Dalata.7978	Ddumetorum.17912
Dalata.7979	Ddumetorum.17913
Dalata.7980	Ddumetorum.17914
Dalata.7982	Ddumetorum.17915
Dalata.7985	Ddumetorum.17916
Dalata.7986	Ddumetorum.17917
Dalata.7987	Ddumetorum.17918
Dalata.7988	Ddumetorum.17919
Dalata.7990	Ddumetorum.17920
Dalata.7992	Ddumetorum.17923
