Chr	LocusName	CompositePos	GenomePos	TDa1401+TDa1401B	TDa1419+TDa1610	TDa1427	TDa1403	TDa1603
Chr5	Chr5:16500512	69.339	16500512	71.64	-	68.528	-	-
Chr5	Chr5:16504201	69.339	16504201	71.64	-	68.528	-	-
Chr5	Chr5:16512643	69.339	16512643	71.64	59.774	-	-	-
Chr5	Chr5:16468240	69.339	16468240	-	-	68.528	-	-
Chr5	Chr5:16477177	69.339	16477177	-	-	68.528	-	-
Chr5	Chr5:16477018	69.339	16477018	-	-	-	67.857	-
Chr5	Chr5:16576498	69.492	16576498	71.793	60.286	-	68.387	-
Chr5	Chr5:16578740	69.492	16578740	71.793	60.286	-	68.387	-
Chr5	Chr5:16610646	69.492	16610646	71.793	60.797	-	-	-
Chr5	Chr5:16611066	69.492	16611066	71.793	-	-	-	-
Chr5	Chr5:16693012	69.775	16693012	72.076	-	68.528	-	-
Chr5	Chr5:16696389	69.775	16696389	72.076	-	68.528	-	-
Chr5	Chr5:16693072	69.869	16693072	72.076	-	68.528	68.387	-
Chr5	Chr5:16679549	69.869	16679549	72.101	-	-	68.387	-
Chr5	Chr5:16687052	69.869	16687052	72.101	61.309	-	68.387	-
Chr5	Chr5:16689228	70.798	16689228	-	62.775	68.528	68.387	-
Chr5	Chr5:16774043	70.888	16774043	73.189	62.865	-	-	-
Chr5	Chr5:16774068	70.888	16774068	73.189	-	-	-	-
Chr5	Chr5:16712526	70.888	16712526	73.43	62.775	68.528	-	-
Chr5	Chr5:16717371	70.888	16717371	73.43	62.775	-	68.387	-
Chr5	Chr5:16689295	70.888	16689295	-	62.775	-	-	-
Chr5	Chr5:16751584	70.888	16751584	-	62.865	68.528	68.387	-
Chr5	Chr5:16800423	71.212	16800423	73.673	-	69.03	68.387	-
Chr5	Chr5:16808296	71.331	16808296	73.792	63.376	69.03	68.387	-
Chr5	Chr5:16821091	71.39	16821091	73.913	63.555	69.03	68.387	-
Chr5	Chr5:16829655	71.491	16829655	74.033	63.734	69.03	68.387	-
Chr5	Chr5:16830569	71.55	16830569	74.033	63.913	69.03	-	-
Chr5	Chr5:16931993	71.933	16931993	74.394	64.631	69.533	-	-
Chr5	Chr5:16932015	72.053	16932015	74.514	64.631	69.533	-	-
Chr5	Chr5:16970102	72.61	16970102	-	65.172	70.035	69.987	-
Chr5	Chr5:17006237	72.61	17006237	-	-	70.035	69.987	-
Chr5	Chr5:16998107	72.697	16998107	75.239	65.891	70.035	-	-
Chr5	Chr5:17003592	72.697	17003592	75.239	66.07	70.035	69.987	-
Chr5	Chr5:17080604	73.091	17080604	75.359	66.429	71.046	69.987	-
Chr5	Chr5:17009219	73.091	17009219	-	-	-	69.987	-
Chr5	Chr5:17066284	73.091	17066284	-	-	-	69.987	-
Chr5	Chr5:17067017	73.091	17067017	-	-	-	69.987	-
Chr5	Chr5:17081891	73.091	17081891	-	-	-	69.987	-
Chr5	Chr5:17141076	73.621	17141076	75.962	67.149	71.046	70.517	76.143
Chr5	Chr5:17230939	73.621	17230939	76.082	67.507	71.046	70.517	-
Chr5	Chr5:17230980	73.621	17230980	76.082	-	71.046	70.517	-
Chr5	Chr5:17232191	73.621	17232191	76.082	68.047	71.046	70.517	-
Chr5	Chr5:17229525	73.621	17229525	-	-	71.046	-	-
Chr5	Chr5:17169697	73.621	17169697	-	-	-	70.517	-
Chr5	Chr5:17197223	73.621	17197223	-	-	-	70.517	-
Chr5	Chr5:16929086	74.211	16929086	-	-	-	71.588	72.454
Chr5	Chr5:17312589	74.692	17312589	-	-	-	71.588	-
Chr5	Chr5:17385175	74.692	17385175	-	-	-	71.588	-
Chr5	Chr5:17393029	74.692	17393029	-	-	-	71.588	-
Chr5	Chr5:17414335	74.692	17414335	-	-	-	71.588	-
Chr5	Chr5:17380277	75.671	17380277	77.019	70.237	-	-	-
Chr5	Chr5:17385238	75.671	17385238	77.139	70.237	73.096	71.588	-
Chr5	Chr5:17393110	75.671	17393110	77.139	70.237	-	-	-
Chr5	Chr5:17407207	75.671	17407207	77.38	70.237	73.096	71.588	-
Chr5	Chr5:17454270	76.477	17454270	-	-	73.598	73.373	-
Chr5	Chr5:17454339	76.746	17454339	78.014	71.501	73.598	-	-
Chr5	Chr5:17515991	77.248	17515991	78.376	71.859	74.1	74.258	-
Chr5	Chr5:17532671	77.606	17532671	-	72.217	-	-	-
Chr5	Chr5:17542226	77.651	17542226	78.617	72.217	74.602	75.318	-
Chr5	Chr5:17583163	77.75	17583163	78.617	72.758	74.602	75.318	-
Chr5	Chr5:17624632	77.75	17624632	-	-	74.602	-	-
Chr5	Chr5:17624221	78.092	17624221	79.22	73.665	74.602	75.318	-
Chr5	Chr5:17582591	78.422	17582591	-	-	-	75.318	-
Chr5	Chr5:17634720	78.521	17634720	79.461	73.665	75.613	-	-
Chr5	Chr5:17669372	78.761	17669372	79.701	74.023	75.613	75.847	-
Chr5	Chr5:17563318	78.761	17563318	-	-	-	75.583	-
Chr5	Chr5:17712908	78.882	17712908	79.822	74.742	75.613	-	-
Chr5	Chr5:17729418	78.882	17729418	-	-	75.613	-	-
Chr5	Chr5:17712931	78.964	17712931	79.942	74.742	75.613	-	-
Chr5	Chr5:17736246	79.026	17736246	80.183	74.742	-	75.847	77.344
Chr5	Chr5:17877189	79.026	17877189	-	-	-	-	78.544
Chr5	Chr5:17789729	79.115	17789729	79.461	74.831	-	75.847	-
Chr5	Chr5:17736180	79.115	17736180	80.183	74.742	-	-	-
Chr5	Chr5:17743091	79.115	17743091	80.664	74.742	-	-	-
Chr5	Chr5:17790383	79.115	17790383	-	74.831	-	75.847	-
Chr5	Chr5:17743074	79.115	17743074	-	-	-	75.847	-
Chr5	Chr5:17946789	79.115	17946789	-	-	-	75.847	-
Chr5	Chr5:17790438	79.205	17790438	80.183	74.831	76.115	75.847	-
Chr5	Chr5:17868622	79.384	17868622	80.664	74.921	76.115	-	-
Chr5	Chr5:17874241	79.384	17874241	-	75.1	76.115	75.847	-
Chr5	Chr5:17803185	79.384	17803185	-	-	76.115	-	-
Chr5	Chr5:17868538	79.566	17868538	80.664	-	76.115	75.847	-
Chr5	Chr5:17877165	79.566	17877165	80.664	75.368	76.115	-	-
Chr5	Chr5:18010957	80.539	18010957	81.637	76.453	76.617	-	-
Chr5	Chr5:18068116	80.57	18068116	81.637	76.721	77.119	-	-
Chr5	Chr5:18147009	80.637	18147009	-	-	-	76.918	-
Chr5	Chr5:18079636	80.659	18079636	81.637	76.721	-	-	-
Chr5	Chr5:18148634	80.794	18148634	81.892	76.721	77.119	76.918	-
Chr5	Chr5:18156356	80.794	18156356	81.892	76.721	77.119	76.918	-
Chr5	Chr5:18176383	80.964	18176383	81.877	77.079	-	76.918	-
Chr5	Chr5:18168205	80.964	18168205	81.892	77.079	-	-	-
Chr5	Chr5:18072284	80.964	18072284	-	76.721	-	-	-
Chr5	Chr5:18147006	80.964	18147006	-	76.721	-	-	-
Chr5	Chr5:18181863	81.382	18181863	82.48	77.079	78.13	76.918	-
Chr5	Chr5:18181942	81.382	18181942	82.48	77.079	78.13	-	-
Chr5	Chr5:18184651	81.382	18184651	82.48	77.079	-	-	-
Chr5	Chr5:18201421	81.382	18201421	82.6	77.079	78.13	76.918	-
Chr5	Chr5:18181313	81.382	18181313	-	-	78.13	76.918	-
Chr5	Chr5:18221336	81.502	18221336	82.48	77.259	78.13	-	-
Chr5	Chr5:18218012	81.502	18218012	82.6	77.259	78.13	-	79.745
Chr5	Chr5:18362607	81.502	18362607	-	-	-	-	80.946
Chr5	Chr5:18226437	81.562	18226437	82.6	77.259	78.13	-	-
Chr5	Chr5:18259318	81.843	18259318	-	-	78.13	77.714	-
Chr5	Chr5:18263852	81.843	18263852	-	-	78.13	77.714	-
Chr5	Chr5:18299017	81.843	18299017	-	-	78.13	77.714	-
Chr5	Chr5:18356486	82.36	18356486	83.57	77.796	-	-	-
Chr5	Chr5:18361750	82.36	18361750	83.57	-	78.13	-	-
Chr5	Chr5:18362616	82.36	18362616	83.57	-	78.13	-	-
Chr5	Chr5:18301245	82.36	18301245	84.121	77.796	78.13	77.714	-
Chr5	Chr5:18309153	82.36	18309153	84.121	77.796	78.13	77.714	-
Chr5	Chr5:18305973	82.36	18305973	-	-	78.13	-	-
Chr5	Chr5:18309227	82.36	18309227	-	-	78.13	-	-
Chr5	Chr5:18405546	82.36	18405546	-	-	78.13	-	-
Chr5	Chr5:18422351	82.36	18422351	-	-	78.13	-	-
Chr5	Chr5:18545464	82.36	18545464	-	-	78.13	-	-
Chr5	Chr5:18559543	82.36	18559543	-	-	78.13	-	-
Chr5	Chr5:18584457	82.36	18584457	-	-	78.13	-	-
Chr5	Chr5:18815126	82.36	18815126	-	-	78.13	-	-
Chr5	Chr5:18885841	82.36	18885841	-	-	78.13	-	-
Chr5	Chr5:18405588	82.637	18405588	83.57	78.334	-	78.508	-
Chr5	Chr5:18428001	82.637	18428001	83.57	78.334	78.13	78.508	-
Chr5	Chr5:18431192	82.637	18431192	83.57	78.334	78.13	78.508	-
Chr5	Chr5:18571949	82.637	18571949	-	78.334	78.13	78.508	-
Chr5	Chr5:18596749	82.637	18596749	-	78.334	78.13	78.508	-
Chr5	Chr5:18575663	82.637	18575663	-	-	78.13	78.508	-
Chr5	Chr5:18575906	82.637	18575906	-	-	78.13	78.508	-
Chr5	Chr5:18583038	82.637	18583038	-	-	78.13	78.508	-
Chr5	Chr5:18603229	82.637	18603229	-	-	78.13	78.508	-
Chr5	Chr5:18562448	82.972	18562448	84.672	78.334	78.13	78.508	-
Chr5	Chr5:18575729	82.972	18575729	84.672	78.334	78.13	78.508	-
Chr5	Chr5:18633482	82.972	18633482	84.672	78.334	78.13	78.508	-
Chr5	Chr5:18636877	82.972	18636877	84.672	78.334	78.13	78.508	-
Chr5	Chr5:18971037	83.184	18971037	-	-	-	-	83.376
Chr5	Chr5:18584380	83.462	18584380	84.672	78.334	78.13	-	-
Chr5	Chr5:18601369	83.462	18601369	84.672	-	-	-	-
Chr5	Chr5:18757468	83.702	18757468	84.912	78.72	78.13	79.573	-
Chr5	Chr5:18698393	83.702	18698393	-	-	-	79.573	-
Chr5	Chr5:18724610	83.702	18724610	-	-	-	79.573	-
Chr5	Chr5:18784608	84.176	18784608	85.475	78.72	78.13	79.573	-
Chr5	Chr5:18797151	84.176	18797151	85.475	78.72	78.13	79.573	-
Chr5	Chr5:18781609	84.265	18781609	85.475	78.72	-	-	-
Chr5	Chr5:18790206	84.265	18790206	85.475	78.72	78.13	-	-
Chr5	Chr5:18922087	84.336	18922087	85.546	-	-	-	-
Chr5	Chr5:18815083	84.545	18815083	85.755	78.72	78.13	80.638	-
Chr5	Chr5:18840422	84.545	18840422	85.755	78.72	78.13	80.638	-
Chr5	Chr5:18840461	84.545	18840461	85.755	78.72	78.13	-	-
Chr5	Chr5:18842670	84.545	18842670	85.755	78.72	78.13	80.638	-
Chr5	Chr5:18843525	84.545	18843525	85.755	78.72	78.13	80.638	-
Chr5	Chr5:18835917	84.545	18835917	-	78.72	78.13	80.638	-
Chr5	Chr5:18884457	84.562	18884457	85.755	79.106	78.13	80.638	-
Chr5	Chr5:18818463	84.562	18818463	-	78.72	-	80.638	-
Chr5	Chr5:18886173	84.562	18886173	-	79.106	78.13	80.638	-
Chr5	Chr5:18835941	84.562	18835941	-	-	-	80.638	-
Chr5	Chr5:18939620	84.562	18939620	-	-	-	80.638	-
Chr5	Chr5:18956622	84.948	18956622	-	79.106	-	-	-
Chr5	Chr5:19339129	85.614	19339129	-	-	-	-	85.806
Chr5	Chr5:18971167	85.633	18971167	85.546	79.106	79.657	81.709	-
Chr5	Chr5:19251200	85.633	19251200	86.686	-	79.657	-	-
Chr5	Chr5:19301421	85.633	19301421	86.686	79.492	79.657	-	-
Chr5	Chr5:19059297	85.633	19059297	86.742	79.106	79.657	81.709	-
Chr5	Chr5:19061121	85.633	19061121	86.742	79.106	79.657	81.709	-
Chr5	Chr5:19072032	85.633	19072032	86.742	79.106	79.657	81.709	-
Chr5	Chr5:19127849	85.633	19127849	86.742	79.106	79.657	81.709	-
Chr5	Chr5:19136315	85.633	19136315	86.742	79.106	79.657	81.709	-
Chr5	Chr5:19463217	85.633	19463217	87.941	-	79.657	80.638	-
Chr5	Chr5:19518056	85.633	19518056	87.941	79.877	79.657	80.638	-
Chr5	Chr5:18970960	85.633	18970960	-	79.106	79.657	81.709	-
Chr5	Chr5:18971027	85.633	18971027	-	79.106	79.657	-	-
Chr5	Chr5:19061976	85.633	19061976	-	79.106	79.657	-	-
Chr5	Chr5:19075834	85.633	19075834	-	79.106	79.657	-	-
Chr5	Chr5:19127201	85.633	19127201	-	79.106	79.657	81.709	-
Chr5	Chr5:19046968	85.633	19046968	-	-	-	81.709	-
Chr5	Chr5:18922490	85.792	18922490	-	-	79.657	-	-
Chr5	Chr5:18928835	85.792	18928835	-	-	79.657	-	-
Chr5	Chr5:18939589	85.792	18939589	-	-	79.657	-	-
Chr5	Chr5:18962516	85.792	18962516	-	-	79.657	-	-
Chr5	Chr5:19046919	85.792	19046919	-	-	79.657	-	-
Chr5	Chr5:19238337	85.792	19238337	-	-	79.657	-	-
Chr5	Chr5:19293609	85.792	19293609	-	-	79.657	-	-
Chr5	Chr5:19368302	85.792	19368302	-	-	79.657	-	-
Chr5	Chr5:19559937	85.792	19559937	-	-	79.657	-	-
Chr5	Chr5:19574752	85.911	19574752	-	-	-	82.503	-
Chr5	Chr5:19367622	85.936	19367622	87.949	79.492	79.657	-	-
Chr5	Chr5:19410368	85.936	19410368	87.949	79.492	-	-	-
Chr5	Chr5:19415078	85.936	19415078	87.949	79.492	79.657	-	-
Chr5	Chr5:19347434	85.936	19347434	-	79.492	79.657	-	-
Chr5	Chr5:19359683	85.936	19359683	-	79.492	79.657	-	-
Chr5	Chr5:19224751	86.018	19224751	86.686	79.492	79.657	83.299	-
Chr5	Chr5:19234950	86.018	19234950	86.686	79.492	79.657	83.299	-
Chr5	Chr5:19241275	86.018	19241275	86.686	-	79.657	83.299	-
Chr5	Chr5:19252331	86.018	19252331	86.686	79.492	79.657	83.299	-
Chr5	Chr5:19259037	86.018	19259037	86.686	79.492	79.657	83.299	-
Chr5	Chr5:19072124	86.018	19072124	86.742	-	79.657	81.709	-
Chr5	Chr5:19473318	86.018	19473318	87.941	79.877	79.657	-	-
Chr5	Chr5:19482284	86.018	19482284	87.941	79.877	79.657	-	-
Chr5	Chr5:19482329	86.018	19482329	87.941	79.877	79.657	-	-
Chr5	Chr5:19492795	86.018	19492795	87.941	79.877	79.657	-	-
Chr5	Chr5:19358569	86.018	19358569	87.949	-	79.657	83.299	-
Chr5	Chr5:19415594	86.018	19415594	87.949	79.492	79.657	83.299	-
Chr5	Chr5:19543663	86.018	19543663	88.405	80.263	79.657	80.638	-
Chr5	Chr5:19564027	86.018	19564027	88.865	80.263	79.657	82.503	-
Chr5	Chr5:19380629	86.018	19380629	-	79.492	79.657	83.299	-
Chr5	Chr5:19584174	86.707	19584174	89.094	80.263	80.159	83.299	-
Chr5	Chr5:19584513	86.707	19584513	89.094	80.263	80.159	83.299	-
Chr5	Chr5:19591906	86.707	19591906	89.094	80.263	80.159	83.299	-
Chr5	Chr5:19610634	86.707	19610634	89.552	80.263	-	83.299	-
Chr5	Chr5:19610697	86.707	19610697	89.552	80.263	80.159	83.299	-
Chr5	Chr5:19349287	86.707	19349287	-	-	-	83.299	-
Chr5	Chr5:19423353	86.707	19423353	-	-	-	83.299	-
Chr5	Chr5:19646614	87.481	19646614	90.012	81.037	80.159	-	-
Chr5	Chr5:19703890	87.563	19703890	90.471	81.037	80.661	-	87.007
Chr5	Chr5:19707373	87.631	19707373	90.471	81.037	80.661	84.79	-
Chr5	Chr5:19838704	88.015	19838704	-	-	-	85.174	88.207
Chr5	Chr5:19863112	88.015	19863112	-	-	-	85.174	-
Chr5	Chr5:19954029	89.795	19954029	-	-	81.672	-	-
Chr5	Chr5:19960557	89.795	19960557	-	-	81.672	-	-
Chr5	Chr5:19955917	89.89	19955917	91.861	82.586	81.672	87.58	-
Chr5	Chr5:19934025	89.89	19934025	-	81.811	81.672	87.049	91.81
Chr5	Chr5:19888603	89.89	19888603	-	-	-	87.049	-
Chr5	Chr5:19894420	89.89	19894420	-	-	-	87.049	-
Chr5	Chr5:19901397	89.89	19901397	-	-	-	87.049	89.408
Chr5	Chr5:19907661	89.89	19907661	-	-	-	87.049	90.609
Chr5	Chr5:19926710	89.89	19926710	-	-	-	87.049	-
Chr5	Chr5:20040083	90.297	20040083	-	84.542	82.174	87.049	-
Chr5	Chr5:20010359	90.297	20010359	-	-	82.174	-	-
Chr5	Chr5:20071435	90.392	20071435	-	84.928	82.174	87.049	-
Chr5	Chr5:20087464	90.573	20087464	92.947	84.928	82.174	-	-
Chr5	Chr5:20138439	91.541	20138439	93.792	86.092	83.185	88.11	93.009
Chr5	Chr5:20145447	91.81	20145447	93.792	86.092	83.687	88.11	-
Chr5	Chr5:20187475	91.866	20187475	-	-	-	88.639	-
Chr5	Chr5:20187489	91.866	20187489	-	-	-	88.639	-
Chr5	Chr5:20192078	91.866	20192078	-	-	-	88.639	-
Chr5	Chr5:20157687	91.905	20157687	94.033	-	83.687	88.639	-
Chr5	Chr5:20232733	92.482	20232733	94.273	-	84.189	-	-
Chr5	Chr5:20250078	93.032	20250078	94.273	-	84.189	90.26	-
Chr5	Chr5:20253890	93.032	20253890	94.273	-	84.189	90.26	-
Chr5	Chr5:20305407	93.032	20305407	-	-	84.691	-	-
Chr5	Chr5:20323871	93.032	20323871	-	-	84.691	-	-
Chr5	Chr5:20323935	93.37	20323935	94.394	87.652	-	90.26	-
Chr5	Chr5:20309705	93.37	20309705	-	87.652	84.691	90.26	-
Chr5	Chr5:20076669	93.487	20076669	92.586	84.928	82.174	90.525	-
Chr5	Chr5:20418755	93.487	20418755	94.514	-	85.194	90.26	-
Chr5	Chr5:20436987	93.487	20436987	94.633	88.038	85.194	90.26	-
Chr5	Chr5:20404021	93.487	20404021	-	88.038	-	90.26	-
Chr5	Chr5:20275082	93.487	20275082	-	-	-	90.26	-
Chr5	Chr5:20330626	93.487	20330626	-	-	-	90.26	-
Chr5	Chr5:20363340	93.487	20363340	-	-	-	90.26	-
Chr5	Chr5:20404268	93.487	20404268	-	-	-	90.26	-
Chr5	Chr5:20112626	93.752	20112626	-	-	-	90.525	-
Chr5	Chr5:20550870	94.018	20550870	-	-	-	90.791	94.21
Chr5	Chr5:20542651	94.068	20542651	95.36	88.423	85.696	90.791	-
Chr5	Chr5:20583608	94.285	20583608	-	-	-	90.791	-
Chr5	Chr5:20569561	94.321	20569561	95.481	88.423	86.198	-	-
Chr5	Chr5:21397213	94.321	21397213	-	88.676	-	-	-
Chr5	Chr5:20614894	94.99	20614894	96.205	-	86.7	90.791	-
Chr5	Chr5:20695006	94.99	20695006	-	-	-	91.496	-
Chr5	Chr5:20695442	95.048	20695442	-	-	-	91.496	97.9
Chr5	Chr5:20706197	95.543	20706197	96.567	-	87.202	91.496	99.101
Chr5	Chr5:20759724	95.971	20759724	-	-	87.202	-	-
Chr5	Chr5:20770410	96.473	20770410	97.497	91.587	87.704	92.921	99.101
Chr5	Chr5:20770456	96.473	20770456	97.497	91.587	-	92.921	-
Chr5	Chr5:20778530	96.473	20778530	97.619	91.587	87.704	-	-
Chr5	Chr5:20779900	96.473	20779900	97.619	91.587	87.704	-	-
Chr5	Chr5:20782300	96.473	20782300	97.619	91.587	87.704	92.921	-
Chr5	Chr5:20793507	96.473	20793507	-	91.587	87.704	-	-
Chr5	Chr5:20768671	96.473	20768671	-	-	87.704	-	-
Chr5	Chr5:20863507	97.484	20863507	97.401	-	88.715	94.525	-
Chr5	Chr5:20810537	97.484	20810537	97.742	-	88.715	93.99	-
Chr5	Chr5:20813315	97.484	20813315	97.742	-	88.715	-	-
Chr5	Chr5:20896087	97.484	20896087	98.621	-	88.715	-	-
Chr5	Chr5:20847383	97.484	20847383	-	-	88.715	93.99	-
Chr5	Chr5:20847466	97.484	20847466	-	-	88.715	93.99	-
Chr5	Chr5:20918060	97.484	20918060	-	-	88.715	-	-
Chr5	Chr5:20809951	97.484	20809951	-	-	-	93.99	-
Chr5	Chr5:20847475	97.484	20847475	-	-	-	93.99	99.101
Chr5	Chr5:20903215	97.809	20903215	-	-	88.715	94.525	-
Chr5	Chr5:20904542	97.809	20904542	-	-	88.715	94.525	-
Chr5	Chr5:20948862	98.23	20948862	-	-	89.461	-	-
Chr5	Chr5:20957787	98.555	20957787	98.621	-	-	95.061	-
Chr5	Chr5:20952983	98.555	20952983	98.861	-	89.461	95.061	100.425
Chr5	Chr5:21019144	98.555	21019144	99.709	-	89.461	95.061	-
Chr5	Chr5:20952921	98.555	20952921	-	-	-	95.061	-
Chr5	Chr5:20956164	98.555	20956164	-	-	-	95.061	-
Chr5	Chr5:21031022	98.555	21031022	-	-	-	95.061	-
Chr5	Chr5:21052447	98.761	21052447	99.709	-	90.962	95.061	-
Chr5	Chr5:21062187	98.761	21062187	99.709	-	-	95.061	-
Chr5	Chr5:21062153	98.982	21062153	-	-	90.962	-	-
Chr5	Chr5:21073965	98.982	21073965	-	-	90.962	-	-
Chr5	Chr5:21060171	99.451	21060171	99.709	-	90.962	-	-
Chr5	Chr5:21073892	99.643	21073892	99.709	-	-	-	-
Chr5	Chr5:21059400	99.905	21059400	-	-	-	-	101.087
Chr5	Chr5:21123807	100.455	21123807	100.07	95.569	92.464	-	-
Chr5	Chr5:21180129	101.229	21180129	100.401	96.343	93.209	97.752	-
Chr5	Chr5:21182422	101.229	21182422	100.401	96.343	93.209	97.752	-
Chr5	Chr5:21193147	101.229	21193147	100.732	-	93.209	97.752	-
Chr5	Chr5:21193402	101.229	21193402	-	96.343	93.209	-	-
Chr5	Chr5:21193235	101.246	21193235	101.021	-	-	97.752	102.428
Chr5	Chr5:21227439	101.452	21227439	101.396	-	94.711	97.752	-
Chr5	Chr5:21236445	101.452	21236445	101.404	97.118	-	97.752	-
Chr5	Chr5:21320205	102.197	21320205	101.7	-	95.456	-	-
Chr5	Chr5:21347167	102.242	21347167	101.7	88.676	96.202	98.748	-
Chr5	Chr5:21396367	102.242	21396367	102.405	-	-	-	102.428
Chr5	Chr5:21313058	102.242	21313058	102.983	97.118	95.456	98.748	-
Chr5	Chr5:21391009	102.448	21391009	-	-	96.202	98.748	-
Chr5	Chr5:21415171	102.678	21415171	103.2	-	-	-	103.09
Chr5	Chr5:21519382	102.678	21519382	105.255	-	-	98.748	-
Chr5	Chr5:21396479	102.943	21396479	102.605	-	96.202	-	-
Chr5	Chr5:21460038	103.689	21460038	-	-	96.948	-	-
Chr5	Chr5:21502715	104.604	21502715	-	-	-	-	105.786
Chr5	Chr5:21704432	106.004	21704432	105.507	-	-	-	-
Chr5	Chr5:21800656	106.004	21800656	106.526	-	-	102.422	107.127
Chr5	Chr5:21747957	106.34	21747957	-	-	-	102.846	-
Chr5	Chr5:21771992	107.272	21771992	-	103.057	99.961	-	-
Chr5	Chr5:21931074	107.947	21931074	-	106.2	-	-	109.129
Chr5	Chr5:21879297	108.749	21879297	106.526	-	-	105.89	-
Chr5	Chr5:21898661	108.749	21898661	106.898	105.815	99.961	105.89	-
Chr5	Chr5:21939160	108.771	21939160	-	-	-	105.89	109.129
Chr5	Chr5:21953836	108.801	21953836	106.778	-	103.006	105.89	109.799
Chr5	Chr5:21954609	109.162	21954609	107.139	-	103.006	105.89	-
Chr5	Chr5:21955010	109.162	21955010	107.139	-	103.006	-	-
Chr5	Chr5:21963190	109.162	21963190	107.139	-	103.006	105.89	-
Chr5	Chr5:21953668	109.162	21953668	-	-	-	105.89	-
Chr5	Chr5:22015638	109.162	22015638	-	-	-	105.89	-
Chr5	Chr5:22015639	109.472	22015639	107.621	-	103.006	-	-
Chr5	Chr5:22015683	109.472	22015683	107.621	-	103.006	105.89	-
Chr5	Chr5:21990161	109.472	21990161	107.862	-	-	105.89	-
Chr5	Chr5:22046338	109.472	22046338	107.862	-	-	105.89	110.47
Chr5	Chr5:22028322	109.713	22028322	107.862	-	-	-	-
Chr5	Chr5:22028417	109.713	22028417	107.862	-	-	-	-
Chr5	Chr5:22030416	109.713	22030416	107.862	-	103.006	-	-
Chr5	Chr5:22037289	109.713	22037289	107.862	-	-	-	-
Chr5	Chr5:22050977	109.713	22050977	107.862	-	-	-	-
Chr5	Chr5:21953709	109.747	21953709	-	-	103.006	-	-
Chr5	Chr5:22030335	109.747	22030335	-	-	103.006	-	-
Chr5	Chr5:22088119	109.747	22088119	-	-	103.006	-	-
Chr5	Chr5:22090005	109.747	22090005	-	-	103.006	-	-
Chr5	Chr5:22090078	109.747	22090078	-	-	103.006	-	-
Chr5	Chr5:22128936	109.747	22128936	-	-	103.006	-	-
Chr5	Chr5:22098583	110.317	22098583	108.466	-	103.006	107.436	-
Chr5	Chr5:22110171	110.317	22110171	108.466	-	103.006	107.436	112.455
Chr5	Chr5:22117560	110.317	22117560	108.466	-	103.006	107.436	113.78
Chr5	Chr5:22118606	110.317	22118606	108.466	-	103.006	107.436	-
Chr5	Chr5:22130092	110.317	22130092	108.466	-	103.006	107.436	-
Chr5	Chr5:22075275	110.317	22075275	108.658	-	103.006	107.436	112.455
Chr5	Chr5:22078016	110.317	22078016	-	-	103.006	-	111.793
Chr5	Chr5:22130049	110.317	22130049	-	-	-	107.436	-
Chr5	Chr5:22162956	110.317	22162956	-	-	-	107.436	-
Chr5	Chr5:23484904	110.733	23484904	-	108.986	-	-	-
Chr5	Chr5:22193453	111.018	22193453	-	110.183	103.752	107.436	-
Chr5	Chr5:22174236	111.042	22174236	109.432	-	-	-	-
Chr5	Chr5:22157122	111.063	22157122	-	-	103.752	-	-
Chr5	Chr5:22157178	111.063	22157178	-	-	103.752	-	-
Chr5	Chr5:22158365	111.063	22158365	-	-	103.752	-	-
Chr5	Chr5:22190165	111.063	22190165	-	-	103.752	-	-
Chr5	Chr5:22190833	111.063	22190833	-	-	103.752	-	-
Chr5	Chr5:22263914	111.063	22263914	-	-	103.752	-	-
Chr5	Chr5:22224418	111.283	22224418	109.432	112.539	103.752	108.826	113.78
Chr5	Chr5:22167036	111.283	22167036	-	110.183	103.752	-	115.815
Chr5	Chr5:22270282	111.283	22270282	-	112.539	103.752	-	-
Chr5	Chr5:22708203	111.283	22708203	-	-	-	-	113.78
Chr5	Chr5:22309376	111.669	22309376	110.824	112.925	104.497	107.48	-
Chr5	Chr5:22252614	111.669	22252614	-	-	-	108.826	-
Chr5	Chr5:22308637	111.808	22308637	-	112.925	104.497	-	-
Chr5	Chr5:22308673	112.028	22308673	110.824	-	-	-	-
Chr5	Chr5:22295636	112.028	22295636	110.964	-	-	110.149	-
Chr5	Chr5:22377509	112.028	22377509	111.516	-	-	109.265	-
Chr5	Chr5:22377612	112.028	22377612	111.516	-	104.497	-	-
Chr5	Chr5:22381118	112.028	22381118	111.516	-	104.497	110.149	-
Chr5	Chr5:22401114	112.028	22401114	111.724	-	-	-	-
Chr5	Chr5:22466453	112.028	22466453	111.976	-	104.833	110.679	-
Chr5	Chr5:22477122	112.028	22477122	111.976	-	-	-	-
Chr5	Chr5:22460002	112.028	22460002	-	99.85	104.833	-	-
Chr5	Chr5:22587962	112.028	22587962	-	100.858	105.394	-	-
Chr5	Chr5:22608054	112.028	22608054	-	100.858	-	-	-
Chr5	Chr5:22608162	112.028	22608162	-	100.858	105.955	-	-
Chr5	Chr5:21502714	112.028	21502714	-	101.101	97.693	-	-
Chr5	Chr5:21508758	112.028	21508758	-	101.101	97.693	-	-
Chr5	Chr5:22466402	112.028	22466402	-	114.88	104.497	110.679	-
Chr5	Chr5:22282247	112.028	22282247	-	-	-	110.149	-
Chr5	Chr5:22411992	112.028	22411992	-	-	-	110.149	-
